constellation,num_pairs,stars,name,ra,dec,zodiac,mags
Cap,9,"['100064', '100345', '100345', '104139', '104139', '105515', '105515', '106985', '106985', '107556', '105515', '105881', '105881', '104139', '100345', '102485', '104139', '102978']",Capricornus,"[20.300904, 20.350187, 20.350187, 21.099118, 21.099118, 21.370776, 21.370776, 21.668181, 21.668181, 21.784011, 21.370776, 21.444452, 21.444452, 21.099118, 20.350187, 20.76826, 21.099118, 20.863692]","[-12.544852, -14.781367, -14.781367, -17.232861, -17.232861, -16.834542000000006, -16.834542000000006, -16.662308, -16.662308, -16.127285999999998, -16.834542000000006, -22.411332, -22.411332, -17.232861, -14.781367, -25.270898000000006, -17.232861, -26.919133]",True,"[3.58, 3.05, 3.05, 4.08, 4.08, 4.28, 4.28, 3.69, 3.69, 2.85, 4.28, 3.77, 3.77, 4.08, 3.05, 4.13, 4.08, 4.12]"
Cas,4,"['8886', '6686', '6686', '4427', '4427', '3179', '3179', '746']",Cassiopeia,"[1.906584, 1.430216, 1.430216, 0.945143, 0.945143, 0.6751159999999999, 0.6751159999999999, 0.152887]","[63.670101, 60.235283, 60.235283, 60.71674, 60.71674, 56.53733100000001, 56.53733100000001, 59.14978000000001]",False,"[3.35, 2.66, 2.66, 2.15, 2.15, 2.24, 2.24, 2.28]"
Cen,16,"['71683', '68702', '68702', '66657', '66657', '68002', '68002', '68282', '68282', '67472', '67472', '67464', '67464', '65936', '65936', '65109', '67464', '68933', '67472', '71352', '71352', '73334', '68002', '61932', '61932', '60823', '60823', '59196', '59196', '56480', '56480', '56561']",Centaurus,"[14.660765, 14.063729, 14.063729, 13.664796, 13.664796, 13.925667, 13.925667, 13.977987, 13.977987, 13.826943, 13.826943, 13.825078, 13.825078, 13.517404999999998, 13.517404999999998, 13.343296, 13.825078, 14.111395000000002, 13.826943, 14.591786, 14.591786, 14.986025, 13.925667, 12.691971, 12.691971, 12.467331, 12.467331, 12.13931, 12.13931, 11.579355, 11.579355, 11.596363]","[-60.833976, -60.373039, -60.373039, -53.466394, -53.466394, -47.288375, -47.288375, -44.803584, -44.803584, -42.473732, -42.473732, -41.68770900000001, -41.68770900000001, -39.407307, -39.407307, -36.71229500000001, -41.68770900000001, -36.369954, -42.473732, -42.157824, -42.157824, -42.104194, -47.288375, -48.959888, -48.959888, -50.230635, -50.230635, -50.722425, -50.722425, -54.264091, -54.264091, -63.01984100000001]",False,"[-0.01, 0.61, 0.61, 2.29, 2.29, 2.55, 2.55, 3.87, 3.87, 3.47, 3.47, 3.41, 3.41, 3.9, 3.9, 2.75, 3.41, 2.06, 3.47, 2.33, 2.33, 3.13, 2.55, 2.2, 2.2, 3.91, 3.91, 2.58, 2.58, 4.62, 4.62, 3.11]"
Cep,6,"['109492', '112724', '112724', '106032', '106032', '105199', '105199', '109492', '112724', '116727', '116727', '106032']",Cepheus,"[22.180908, 22.82802, 22.82802, 21.477662, 21.477662, 21.30963, 21.30963, 22.180908, 22.82802, 23.65582, 23.65582, 21.477662]","[58.201261, 66.200408, 66.200408, 70.560716, 70.560716, 62.585573, 62.585573, 58.201261, 66.200408, 77.632276, 77.632276, 70.560716]",False,"[3.39, 3.5, 3.5, 3.23, 3.23, 2.45, 2.45, 3.39, 3.5, 3.21, 3.21, 3.23]"
Com,2,"['64241', '64394', '64394', '60742']",Coma Berenices,"[13.166469, 13.197904, 13.197904, 12.448966]","[17.529431, 27.878183, 27.878183, 28.268423]",False,"[4.32, 4.23, 4.23, 4.35]"
Cvn,1,"['61317', '63125']",Canes Venatici,"[12.562411, 12.933807]","[41.35748, 38.31838]",False,"[4.24, 2.89]"
Aur,6,"['28380', '28360', '28360', '24608', '24608', '23453', '23453', '23015', '25428', '23015', '25428', '28380']",Auriga,"[5.995351, 5.992149, 5.992149, 5.27815, 5.27815, 5.041301, 5.041301, 4.9498940000000005, 5.438198000000001, 4.9498940000000005, 5.438198000000001, 5.995351]","[37.212585, 44.947433, 44.947433, 45.997991, 45.997991, 41.075837, 41.075837, 33.166090000000004, 28.60745, 33.166090000000004, 28.60745, 37.212585]",False,"[2.65, 1.9, 1.9, 0.08, 0.08, 3.69, 3.69, 2.69, 1.65, 2.69, 1.65, 2.65]"
Col,6,"['30277', '29807', '29807', '28199', '28199', '27628', '27628', '28328', '27628', '26634', '26634', '25859']",Columba,"[6.368564, 6.275871, 6.275871, 5.958947, 5.958947, 5.849329, 5.849329, 5.985778, 5.849329, 5.660817, 5.660817, 5.520209]","[-33.4364, -35.140519, -35.140519, -35.28328, -35.28328, -35.768309, -35.768309, -42.815135, -35.768309, -34.074108, -34.074108, -35.470519]",False,"[3.85, 4.37, 4.37, 4.36, 4.36, 3.12, 3.12, 3.96, 3.12, 2.65, 2.65, 3.86]"
Crt,9,"['53740', '54682', '54682', '55705', '55705', '55282', '55282', '53740', '55282', '55687', '55687', '56633', '56633', '58188', '58188', '57283', '57283', '55705']",Crater,"[10.996244, 11.194302, 11.194302, 11.414702, 11.414702, 11.322347, 11.322347, 10.996244, 11.322347, 11.410164, 11.410164, 11.611365, 11.611365, 11.933599, 11.933599, 11.746049, 11.746049, 11.414702]","[-18.298783, -22.825847, -22.825847, -17.68401, -17.68401, -14.778541, -14.778541, -18.298783, -14.778541, -10.859323, -10.859323, -9.802247, -9.802247, -17.150829, -17.150829, -18.350674, -18.350674, -17.68401]",False,"[4.08, 4.46, 4.46, 4.06, 4.06, 3.56, 3.56, 4.08, 3.56, 4.81, 4.81, 4.7, 4.7, 5.17, 5.17, 4.71, 4.71, 4.06]"
CrB,6,"['76127', '75695', '75695', '76267', '76267', '76952', '76952', '77512', '77512', '78159', '78159', '78493']",Corona Borealis,"[15.548829, 15.463818, 15.463818, 15.578128, 15.578128, 15.712381, 15.712381, 15.826570000000002, 15.826570000000002, 15.959794, 15.959794, 16.024047]","[31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061]",False,"[4.14, 3.66, 3.66, 2.22, 2.22, 3.81, 3.81, 4.59, 4.59, 4.14, 4.14, 4.98]"
